trial_number,state,value,params,datetime_complete
0,COMPLETE,0.3938203822886289,"{""x_n_estimators"": 1436, ""x_learning_rate"": 0.13751068413926434, ""x_max_depth"": 8, ""x_subsample"": 0.7993292420985183, ""x_colsample"": 0.4936111842654619, ""x_reg_lambda"": 1.2358382772306929e-05, ""x_reg_alpha"": 2.550264850403287e-06, ""x_min_child_weight"": 26, ""x_gamma"": 1.2022300234864176}",2025-11-19T06:11:30.705592+00:00
1,COMPLETE,0.39819739771904267,"{""x_n_estimators"": 2270, ""x_learning_rate"": 0.00011693648443440106, ""x_max_depth"": 9, ""x_subsample"": 0.9162213204002109, ""x_colsample"": 0.5274034664069657, ""x_reg_lambda"": 1.8740223688836324e-05, ""x_reg_alpha"": 1.922346047064365e-05, ""x_min_child_weight"": 10, ""x_gamma"": 1.0495128632644757}",2025-11-19T06:13:26.281392+00:00
2,COMPLETE,0.3930367286179671,"{""x_n_estimators"": 1580, ""x_learning_rate"": 0.0009148631342290043, ""x_max_depth"": 7, ""x_subsample"": 0.569746930326021, ""x_colsample"": 0.5752867891211308, ""x_reg_lambda"": 0.0003668874895499185, ""x_reg_alpha"": 0.0015577217702693043, ""x_min_child_weight"": 24, ""x_gamma"": 0.39934756431671947}",2025-11-19T06:14:34.870679+00:00
3,COMPLETE,0.3926530356639916,"{""x_n_estimators"": 1786, ""x_learning_rate"": 0.009027723761715104, ""x_max_depth"": 3, ""x_subsample"": 0.8037724259507192, ""x_colsample"": 0.502314474212375, ""x_reg_lambda"": 2.8533901052402254e-06, ""x_reg_alpha"": 4.387314432435407, ""x_min_child_weight"": 29, ""x_gamma"": 1.6167946962329223}",2025-11-19T06:14:54.155198+00:00
4,COMPLETE,0.3986696859213601,"{""x_n_estimators"": 1261, ""x_learning_rate"": 0.00021009638415064324, ""x_max_depth"": 7, ""x_subsample"": 0.7200762468698007, ""x_colsample"": 0.47322294090686734, ""x_reg_lambda"": 0.0029257577949824438, ""x_reg_alpha"": 1.7406828393128095e-06, ""x_min_child_weight"": 28, ""x_gamma"": 0.5175599632000338}",2025-11-19T06:15:53.478892+00:00
5,COMPLETE,0.3925759674492649,"{""x_n_estimators"": 2156, ""x_learning_rate"": 0.0010689751565977942, ""x_max_depth"": 6, ""x_subsample"": 0.7733551396716398, ""x_colsample"": 0.5109126733153162, ""x_reg_lambda"": 6.1248068059259815, ""x_reg_alpha"": 0.2666427400467688, ""x_min_child_weight"": 29, ""x_gamma"": 1.7896547008552977}",2025-11-19T06:16:56.383906+00:00
6,COMPLETE,0.3881546253186624,"{""x_n_estimators"": 1995, ""x_learning_rate"": 0.11044206086493412, ""x_max_depth"": 3, ""x_subsample"": 0.5979914312095727, ""x_colsample"": 0.4271363733463229, ""x_reg_lambda"": 0.0001893704954163131, ""x_reg_alpha"": 0.0005257036929213674, ""x_min_child_weight"": 9, ""x_gamma"": 1.6574750183038587}",2025-11-19T06:17:07.609349+00:00
7,COMPLETE,0.3934459781915567,"{""x_n_estimators"": 1392, ""x_learning_rate"": 0.0008460056107201562, ""x_max_depth"": 6, ""x_subsample"": 0.5704621124873813, ""x_colsample"": 0.8813181884524238, ""x_reg_lambda"": 3.325481267274215e-06, ""x_reg_alpha"": 8.094845352286146, ""x_min_child_weight"": 24, ""x_gamma"": 0.3974313630683448}",2025-11-19T06:18:09.665753+00:00
8,COMPLETE,0.3917257841316192,"{""x_n_estimators"": 513, ""x_learning_rate"": 0.04918839315632672, ""x_max_depth"": 7, ""x_subsample"": 0.8645035840204937, ""x_colsample"": 0.8627622080115674, ""x_reg_lambda"": 3.298470179752566e-06, ""x_reg_alpha"": 0.0003230428252240964, ""x_min_child_weight"": 4, ""x_gamma"": 1.726206851751187}",2025-11-19T06:18:24.037188+00:00
9,COMPLETE,0.3927033914233346,"{""x_n_estimators"": 2058, ""x_learning_rate"": 0.0012368137521979532, ""x_max_depth"": 3, ""x_subsample"": 0.6554911608578311, ""x_colsample"": 0.5951099932160482, ""x_reg_lambda"": 0.12800980864220765, ""x_reg_alpha"": 0.02903369428128565, ""x_min_child_weight"": 27, ""x_gamma"": 0.9444298503238986}",2025-11-19T06:19:10.404715+00:00
