trial_number,state,value,params,datetime_complete
0,COMPLETE,0.4000125924861567,"{""x_n_estimators"": 1436, ""x_learning_rate"": 0.13751068413926434, ""x_max_depth"": 8, ""x_subsample"": 0.7993292420985183, ""x_colsample"": 0.4936111842654619, ""x_reg_lambda"": 1.2358382772306929e-05, ""x_reg_alpha"": 2.550264850403287e-06, ""x_min_child_weight"": 26, ""x_gamma"": 1.2022300234864176}",2025-11-21T01:09:56.289095+00:00
1,COMPLETE,0.4021212130771505,"{""x_n_estimators"": 2270, ""x_learning_rate"": 0.00011693648443440106, ""x_max_depth"": 9, ""x_subsample"": 0.9162213204002109, ""x_colsample"": 0.5274034664069657, ""x_reg_lambda"": 1.8740223688836324e-05, ""x_reg_alpha"": 1.922346047064365e-05, ""x_min_child_weight"": 10, ""x_gamma"": 1.0495128632644757}",2025-11-21T01:12:05.109382+00:00
2,COMPLETE,0.3979766023371314,"{""x_n_estimators"": 1580, ""x_learning_rate"": 0.0009148631342290043, ""x_max_depth"": 7, ""x_subsample"": 0.569746930326021, ""x_colsample"": 0.5752867891211308, ""x_reg_lambda"": 0.0003668874895499185, ""x_reg_alpha"": 0.0015577217702693043, ""x_min_child_weight"": 24, ""x_gamma"": 0.39934756431671947}",2025-11-21T01:13:03.156941+00:00
3,COMPLETE,0.397278973667254,"{""x_n_estimators"": 1786, ""x_learning_rate"": 0.009027723761715104, ""x_max_depth"": 3, ""x_subsample"": 0.8037724259507192, ""x_colsample"": 0.502314474212375, ""x_reg_lambda"": 2.8533901052402254e-06, ""x_reg_alpha"": 4.387314432435407, ""x_min_child_weight"": 29, ""x_gamma"": 1.6167946962329223}",2025-11-21T01:13:17.462543+00:00
4,COMPLETE,0.40186075832989404,"{""x_n_estimators"": 1261, ""x_learning_rate"": 0.00021009638415064324, ""x_max_depth"": 7, ""x_subsample"": 0.7200762468698007, ""x_colsample"": 0.47322294090686734, ""x_reg_lambda"": 0.0029257577949824438, ""x_reg_alpha"": 1.7406828393128095e-06, ""x_min_child_weight"": 28, ""x_gamma"": 0.5175599632000338}",2025-11-21T01:14:19.263305+00:00
5,COMPLETE,0.3977053268740756,"{""x_n_estimators"": 2156, ""x_learning_rate"": 0.0010689751565977942, ""x_max_depth"": 6, ""x_subsample"": 0.7733551396716398, ""x_colsample"": 0.5109126733153162, ""x_reg_lambda"": 6.1248068059259815, ""x_reg_alpha"": 0.2666427400467688, ""x_min_child_weight"": 29, ""x_gamma"": 1.7896547008552977}",2025-11-21T01:15:17.853240+00:00
6,COMPLETE,0.3997491117315436,"{""x_n_estimators"": 1995, ""x_learning_rate"": 0.11044206086493412, ""x_max_depth"": 3, ""x_subsample"": 0.5979914312095727, ""x_colsample"": 0.4271363733463229, ""x_reg_lambda"": 0.0001893704954163131, ""x_reg_alpha"": 0.0005257036929213674, ""x_min_child_weight"": 9, ""x_gamma"": 1.6574750183038587}",2025-11-21T01:15:27.016983+00:00
7,COMPLETE,0.3984294689109107,"{""x_n_estimators"": 1392, ""x_learning_rate"": 0.0008460056107201562, ""x_max_depth"": 6, ""x_subsample"": 0.5704621124873813, ""x_colsample"": 0.8813181884524238, ""x_reg_lambda"": 3.325481267274215e-06, ""x_reg_alpha"": 8.094845352286146, ""x_min_child_weight"": 24, ""x_gamma"": 0.3974313630683448}",2025-11-21T01:16:22.923498+00:00
8,COMPLETE,0.3987193923590617,"{""x_n_estimators"": 513, ""x_learning_rate"": 0.04918839315632672, ""x_max_depth"": 7, ""x_subsample"": 0.8645035840204937, ""x_colsample"": 0.8627622080115674, ""x_reg_lambda"": 3.298470179752566e-06, ""x_reg_alpha"": 0.0003230428252240964, ""x_min_child_weight"": 4, ""x_gamma"": 1.726206851751187}",2025-11-21T01:16:36.400167+00:00
9,COMPLETE,0.397471874617369,"{""x_n_estimators"": 2058, ""x_learning_rate"": 0.0012368137521979532, ""x_max_depth"": 3, ""x_subsample"": 0.6554911608578311, ""x_colsample"": 0.5951099932160482, ""x_reg_lambda"": 0.12800980864220765, ""x_reg_alpha"": 0.02903369428128565, ""x_min_child_weight"": 27, ""x_gamma"": 0.9444298503238986}",2025-11-21T01:17:15.005806+00:00
10,COMPLETE,0.3990724324293896,"{""x_n_estimators"": 2863, ""x_learning_rate"": 0.013979776518911736, ""x_max_depth"": 4, ""x_subsample"": 0.9661451709558936, ""x_colsample"": 0.7114864019556889, ""x_reg_lambda"": 0.06787807462694867, ""x_reg_alpha"": 6.480149127775176, ""x_min_child_weight"": 19, ""x_gamma"": 1.315924369942073}",2025-11-21T01:17:27.484881+00:00
11,COMPLETE,0.3976961416182535,"{""x_n_estimators"": 2612, ""x_learning_rate"": 0.005629985083921278, ""x_max_depth"": 4, ""x_subsample"": 0.6821939638936679, ""x_colsample"": 0.6606137630538469, ""x_reg_lambda"": 0.1290012659745161, ""x_reg_alpha"": 0.087556767837509, ""x_min_child_weight"": 18, ""x_gamma"": 0.8810619363598968}",2025-11-21T01:17:43.873854+00:00
12,COMPLETE,0.3971196250697509,"{""x_n_estimators"": 891, ""x_learning_rate"": 0.005134036458148198, ""x_max_depth"": 3, ""x_subsample"": 0.6608835888001323, ""x_colsample"": 0.6503034572570129, ""x_reg_lambda"": 0.14212270834204516, ""x_reg_alpha"": 0.06007460909004638, ""x_min_child_weight"": 30, ""x_gamma"": 0.7700841215037226}",2025-11-21T01:18:00.059615+00:00
13,COMPLETE,0.39753794775560003,"{""x_n_estimators"": 842, ""x_learning_rate"": 0.01409362442286146, ""x_max_depth"": 4, ""x_subsample"": 0.5036394230048078, ""x_colsample"": 0.738887102649097, ""x_reg_lambda"": 1.8392448441799987, ""x_reg_alpha"": 0.6188936942958875, ""x_min_child_weight"": 21, ""x_gamma"": 0.7337971867509335}",2025-11-21T01:18:14.739461+00:00
14,COMPLETE,0.3987398818221288,"{""x_n_estimators"": 1055, ""x_learning_rate"": 0.00414015351616391, ""x_max_depth"": 5, ""x_subsample"": 0.8231454309802443, ""x_colsample"": 0.9916882347614262, ""x_reg_lambda"": 0.005688681603617185, ""x_reg_alpha"": 0.016113196823730573, ""x_min_child_weight"": 30, ""x_gamma"": 1.448125572098917}",2025-11-21T01:18:38.442093+00:00
15,COMPLETE,0.39756321608312073,"{""x_n_estimators"": 1787, ""x_learning_rate"": 0.017630653335215244, ""x_max_depth"": 3, ""x_subsample"": 0.7294111983952427, ""x_colsample"": 0.6327350675094475, ""x_reg_lambda"": 0.009180532897799359, ""x_reg_alpha"": 1.0977191811365696, ""x_min_child_weight"": 23, ""x_gamma"": 1.9545329311901558}",2025-11-21T01:18:49.323679+00:00
16,COMPLETE,0.39817162013882096,"{""x_n_estimators"": 511, ""x_learning_rate"": 0.003110937722903774, ""x_max_depth"": 5, ""x_subsample"": 0.6645325915335119, ""x_colsample"": 0.4042769072363917, ""x_reg_lambda"": 0.810271856267523, ""x_reg_alpha"": 0.0056499083650568905, ""x_min_child_weight"": 12, ""x_gamma"": 0.02635842876184713}",2025-11-21T01:19:10.093329+00:00
17,COMPLETE,0.39888021172002447,"{""x_n_estimators"": 927, ""x_learning_rate"": 0.02613760724579442, ""x_max_depth"": 5, ""x_subsample"": 0.8717360375187788, ""x_colsample"": 0.7758873481309698, ""x_reg_lambda"": 0.000258853195787428, ""x_reg_alpha"": 1.7042377746000614, ""x_min_child_weight"": 2, ""x_gamma"": 1.4971973003724828}",2025-11-21T01:19:24.657905+00:00
18,COMPLETE,0.397311248696109,"{""x_n_estimators"": 2468, ""x_learning_rate"": 0.007609419673680479, ""x_max_depth"": 3, ""x_subsample"": 0.616296459331951, ""x_colsample"": 0.5769830352137387, ""x_reg_lambda"": 0.02141671426051436, ""x_reg_alpha"": 0.11989491511172966, ""x_min_child_weight"": 15, ""x_gamma"": 0.7028841935737346}",2025-11-21T01:19:42.636497+00:00
19,COMPLETE,0.39889088214568375,"{""x_n_estimators"": 1774, ""x_learning_rate"": 0.0020989362476980964, ""x_max_depth"": 4, ""x_subsample"": 0.9956385980717997, ""x_colsample"": 0.6574963516284403, ""x_reg_lambda"": 0.0013312329519456357, ""x_reg_alpha"": 6.377033628627866e-05, ""x_min_child_weight"": 30, ""x_gamma"": 0.08671419184671725}",2025-11-21T01:20:11.098340+00:00
20,COMPLETE,0.40047725358862085,"{""x_n_estimators"": 1251, ""x_learning_rate"": 0.0004091025912834747, ""x_max_depth"": 5, ""x_subsample"": 0.7485459822215131, ""x_colsample"": 0.797687599943642, ""x_reg_lambda"": 4.792360171004318e-05, ""x_reg_alpha"": 0.02603012436556703, ""x_min_child_weight"": 16, ""x_gamma"": 1.1121423238626462}",2025-11-21T01:21:15.021525+00:00
21,COMPLETE,0.3964456774636331,"{""x_n_estimators"": 2438, ""x_learning_rate"": 0.0075085359760214965, ""x_max_depth"": 3, ""x_subsample"": 0.6195022272184885, ""x_colsample"": 0.5751458277119639, ""x_reg_lambda"": 0.04851274993654038, ""x_reg_alpha"": 0.1280247519003342, ""x_min_child_weight"": 14, ""x_gamma"": 0.6505092665393581}",2025-11-21T01:21:39.382053+00:00
22,COMPLETE,0.39729787457492344,"{""x_n_estimators"": 2906, ""x_learning_rate"": 0.04654958091841944, ""x_max_depth"": 3, ""x_subsample"": 0.692587031947193, ""x_colsample"": 0.5541412823680149, ""x_reg_lambda"": 0.3903390789003058, ""x_reg_alpha"": 2.2785444286182894, ""x_min_child_weight"": 7, ""x_gamma"": 0.6442718752859073}",2025-11-21T01:21:52.208191+00:00
23,COMPLETE,0.39705955343123894,"{""x_n_estimators"": 2422, ""x_learning_rate"": 0.009332242122262116, ""x_max_depth"": 4, ""x_subsample"": 0.5091560990452557, ""x_colsample"": 0.4596505021790005, ""x_reg_lambda"": 0.0357291764121187, ""x_reg_alpha"": 0.22536572721815734, ""x_min_child_weight"": 14, ""x_gamma"": 0.2726296681943477}",2025-11-21T01:22:10.220570+00:00
24,COMPLETE,0.39729337352249094,"{""x_n_estimators"": 2624, ""x_learning_rate"": 0.0023258456577482426, ""x_max_depth"": 4, ""x_subsample"": 0.5156143667896365, ""x_colsample"": 0.4427984334669987, ""x_reg_lambda"": 0.030798155396735437, ""x_reg_alpha"": 0.24930609709870036, ""x_min_child_weight"": 13, ""x_gamma"": 0.22174800845797799}",2025-11-21T01:22:46.254966+00:00
25,COMPLETE,0.395667271802808,"{""x_n_estimators"": 2270, ""x_learning_rate"": 0.04100153602911578, ""x_max_depth"": 4, ""x_subsample"": 0.545602950355039, ""x_colsample"": 0.6276658362050271, ""x_reg_lambda"": 0.6372643639700156, ""x_reg_alpha"": 0.010620835559639963, ""x_min_child_weight"": 16, ""x_gamma"": 0.20255373939161359}",2025-11-21T01:22:58.349874+00:00
26,COMPLETE,0.3964962153774841,"{""x_n_estimators"": 2389, ""x_learning_rate"": 0.04001409738492053, ""x_max_depth"": 4, ""x_subsample"": 0.5416173827593992, ""x_colsample"": 0.6191254693640806, ""x_reg_lambda"": 8.646565714783037, ""x_reg_alpha"": 0.005911435701947261, ""x_min_child_weight"": 15, ""x_gamma"": 0.2220923478546128}",2025-11-21T01:23:09.345441+00:00
27,COMPLETE,0.39644566084360355,"{""x_n_estimators"": 2764, ""x_learning_rate"": 0.05260667150518576, ""x_max_depth"": 5, ""x_subsample"": 0.5498545137628279, ""x_colsample"": 0.6232931827415775, ""x_reg_lambda"": 6.630619648993996, ""x_reg_alpha"": 0.004782896524131379, ""x_min_child_weight"": 17, ""x_gamma"": 0.1948108084394944}",2025-11-21T01:23:22.986995+00:00
28,COMPLETE,0.39533967553993404,"{""x_n_estimators"": 2765, ""x_learning_rate"": 0.09080858300574347, ""x_max_depth"": 6, ""x_subsample"": 0.624245323412603, ""x_colsample"": 0.6911822679287494, ""x_reg_lambda"": 2.092637390163274, ""x_reg_alpha"": 0.0012639225424913917, ""x_min_child_weight"": 19, ""x_gamma"": 0.552019661906266}",2025-11-21T01:23:37.959882+00:00
29,COMPLETE,0.3941622674108857,"{""x_n_estimators"": 2745, ""x_learning_rate"": 0.18248288542997168, ""x_max_depth"": 6, ""x_subsample"": 0.5597221069527575, ""x_colsample"": 0.6856296299946534, ""x_reg_lambda"": 2.052453610587262, ""x_reg_alpha"": 0.0015120000109427087, ""x_min_child_weight"": 17, ""x_gamma"": 0.44409916426176044}",2025-11-21T01:23:57.810204+00:00
30,COMPLETE,0.3970889783530638,"{""x_n_estimators"": 2637, ""x_learning_rate"": 0.1894709423705226, ""x_max_depth"": 8, ""x_subsample"": 0.5969933769840245, ""x_colsample"": 0.6879738126453272, ""x_reg_lambda"": 2.1213715899202192, ""x_reg_alpha"": 0.0008899519196988212, ""x_min_child_weight"": 20, ""x_gamma"": 0.47247047630026995}",2025-11-21T01:24:14.511791+00:00
31,COMPLETE,0.3962500625161053,"{""x_n_estimators"": 2987, ""x_learning_rate"": 0.08375256181600778, ""x_max_depth"": 6, ""x_subsample"": 0.5505659969945685, ""x_colsample"": 0.7305407839460364, ""x_reg_lambda"": 2.750849738753395, ""x_reg_alpha"": 0.0001817788709154704, ""x_min_child_weight"": 17, ""x_gamma"": 0.11773578907410316}",2025-11-21T01:24:29.412227+00:00
32,COMPLETE,0.39722719360835157,"{""x_n_estimators"": 2991, ""x_learning_rate"": 0.09551802835993882, ""x_max_depth"": 6, ""x_subsample"": 0.5462484692923909, ""x_colsample"": 0.7524748316702055, ""x_reg_lambda"": 0.5389580845441525, ""x_reg_alpha"": 0.00010931265927239521, ""x_min_child_weight"": 22, ""x_gamma"": 0.0022800392783456913}",2025-11-21T01:24:43.648973+00:00
33,COMPLETE,0.39639898604213547,"{""x_n_estimators"": 2760, ""x_learning_rate"": 0.08271533898438815, ""x_max_depth"": 8, ""x_subsample"": 0.6222160822729841, ""x_colsample"": 0.7075685262998561, ""x_reg_lambda"": 2.1692502811489294, ""x_reg_alpha"": 7.1191011762334255e-06, ""x_min_child_weight"": 19, ""x_gamma"": 0.36001659324028257}",2025-11-21T01:25:00.554482+00:00
34,COMPLETE,0.40067893317669184,"{""x_n_estimators"": 2986, ""x_learning_rate"": 0.1914524617991827, ""x_max_depth"": 7, ""x_subsample"": 0.574225591003591, ""x_colsample"": 0.8165040839018152, ""x_reg_lambda"": 1.1219108667311795, ""x_reg_alpha"": 0.0016231972297188078, ""x_min_child_weight"": 11, ""x_gamma"": 0.5481601260114564}",2025-11-21T01:25:14.455140+00:00
